id,name,desc,price,quantity
1,Apple iPhone 15,Den senaste modellen från Apple med A16 chip,1500.0,20
3,Google Pixel 8,Enkel Android-upplevelse med bra kamera,8499.5,12
4,OnePlus 11,Flaggskepp från OnePlus med snabb laddning,10999.0,7
5,Xiaomi 13,Prisvärd topptelefon med bra kamera och prestanda,7999.0,10
6,Motorola Edge 40,Flaggskepp med bra batteritid och 5G-stöd,200000.0,5
7,Realme GT 2 Pro,Flaggskepp från Realme med Snapdragon 8 Gen 1,10990.0,3
8,Oppo Find X5 Pro,Pålitlig Android med 50MP kamera och 80W snabbladdning,10990.0,6
9,Sony experia,Bästa kvalite,2000.0,1
10,Nisse,"Hgggggghhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhnmmm,,, jkkkkkkkkkkkkkkkkkkkkkkkkkkkk jkkkk",8888.0,99
11,Sont,Fina,20.0,1
